Handle,Option1 Name,Option1 Value,Variant SKU,Variant Price,Status,Note (delete this column before import)
thermal-cycler,Style,TC 9639 Thermal Cycler with multiformat block,T5000-96,6534.60,active,Was 653460.00. 384-well variant is 7605.00; multiformat set to 6534.60 as a decimal-shift guess. VERIFY with Benchmark price list before import.
ztest-prod2,,,,,draft,Test product
ztest-prod1,,,,,draft,Test product
ipd9600-ck,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
ipd9600-bd5,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
ipd9600-bd4,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
ipd9600-bd28,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
ipd9600-96a2,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
ipd9600-50t,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
ipd9600-50g,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
ipd9600-4pc,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
ipd9600-48,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
ipd9600-3858-1,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
ipd9600-35zo,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
ipd9600-10bs,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
h3d1020,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
d1031-st25,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
c1005-t5-rk,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
c1005-frz,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
copy-of-brasil-neoprene-latex-glove-with-terry-lining-2,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
taq-polymerase-thermostable-dna-polymerase,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
mini-incubator,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
transfer-pipettes,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
pcr-reagents,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
chemicals,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
gel-loading-tips,,,,,draft,Priced $0 / blank. Draft until priced or marked quote-only.
